單字	詞性	中文解釋	例句
alert	adj.	警覺的	Parents should be _____ to their children's strange behavior.
alert	v.	使警覺	The alarm rang, and it _____ me to the fire.
alert	n.	警報	A tsunami _____ was issued immediately after the major earthquake occurred.
anniversary	n.	週年紀念日	Ben held a party to celebrate his parents' fiftieth wedding _____.
approval	n.	贊成，同意	Sara took a week's leave with her supervisor's _____.
authentic	adj.	真正的，可靠的	The businessman spent at least a million dollars acquiring this _____ Picasso painting.
confidence	n.	信心	Ian has _____ that he can win.
consist	v.	組成，構成	The tennis club _____ of twelve boys and ten girls.
context	n.	上下文，背景	To fully understand what the drama tries to express, we should see it in historical _____.
creativity	n.	創造力	Being a good artist requires a lot of _____.
endure	v.	忍受	People have to _____ extreme heat when traveling in the desert.
enduring	adj.	持久的	The war survivors hope for _____ peace and stability.
enthusiasm	n.	熱情	Vince shows great _____ for his work.
fragile	adj.	脆弱的，易碎的	The parcel was labeled "_____."
habitual	adj.	習慣的	Robert is a _____ drinker, and he almost gets drunk every day.
harmony	n.	和諧	In order to protect the earth, people should live in _____ with nature.
intelligence	n.	智力	The dolphin is an animal with high _____.
launch	v.	發起，推出	The new product is set to _____ tomorrow.
launch	n.	發表會，發射	The new smartphone _____ will take place in New York.
margin	n.	邊緣，空白處	Please write your comments in the _____.
overcome	v.	克服	To achieve success, you should _____ all the difficulties.
paragraph	n.	段落	A _____ usually contains five to ten sentences and focuses on one main idea.
protein	n.	蛋白質	In addition to animal products, beans and nuts are also rich in _____.
protest	n.	抗議	The opposing party held a _____ against the new policy.
protest	v.	抗議	Thousands of people gathered outside the AIT office, _____ against the U.S. pork imports.
researcher	n.	研究人員	According to some _____, excessive vitamins are harmful to human health.
severe	adj.	嚴厲的，嚴重的	Spanking is considered a _____ punishment by some modern parents.
severely	adv.	嚴重地	The farm was _____ damaged due to the typhoon.
strengthen	v.	增強，加強	An ambassador's job is to _____ the relationship between two countries.
sympathy	n.	同情心	The mayor expressed deep _____ for the victims of that accident.
analysis	n.	分析	We must make a careful _____ of the causes of the accident.
arms	n.	武器	It is against the law for ordinary people to carry _____ in Taiwan.
artificial	adj.	人造的，人工的	An _____ flower may last forever.
blend	v.	混合	_____ butter and flour before adding the other ingredients.
blend	n.	混合物	Diego's dance is a _____ of modern ballet and tango.
container	n.	容器	Olivia kept her jewels in an unbreakable _____.
continuous	adj.	連續的，不斷的	There was something wrong with the air-conditioner because it made a _____ noise.
contribution	n.	貢獻	Hawking's black hole theory is a major _____ to the modern science.
depression	n.	憂鬱症，蕭條	Lily traveled abroad in order to come out of her _____.
digital	adj.	數位的	A _____ watch shows the time through digits rather than through hands.
equality	n.	平等	Those laborers campaigned for social _____.
experimental	adj.	實驗性的	The new treatment is still in the _____ stage.
gallery	n.	畫廊，美術館	The modern art exhibition at the _____ is worth seeing.
handwriting	n.	筆跡，字跡	Will's _____ is very hard to read, so I have to call him to make sure of what he wants in the letter.
laboratory	n.	實驗室	Scientists from around the world work together in the cancer research _____.
license	n.	執照，許可證	Peter passed the driving test and got a driver's _____.
license	v.	許可，發執照	The restaurant is _____ to sell alcoholic drinks.
maturity	n.	成熟	Despite the young age, Owen showed great _____ when he faced difficulties.
oxygen	n.	氧氣	We cannot live without _____.
psychological	adj.	心理的	That child has _____ problems, which prevents him from interacting with other people.
quotation	n.	引言，引語	If you use a _____ in your paper, you must cite the source.
research	n.	研究	The experts are carrying out some _____ into the effects of music on children.
research	v.	研究	Dr. Lin is _____ into the causes of cancer and ways to prevent them.
resistance	n.	抵抗，阻力	When they came to arrest him, the man offered no _____ to the police.
surroundings	n.	環境，周圍的事物	After Dylan moved to the new city, it took him a few weeks to get used to the new _____.
tolerable	adj.	可忍受的	The extreme cold in high mountain areas is barely _____ to some tourists.
appropriate	adj.	適當的	Jason made a speech highly _____ to the occasion.
association	n.	協會，聯想	Sally is interested in joining the student _____.
broke	adj.	破產的，身無分文的	The businessman was flat _____ after the investment failed.
brutal	adj.	殘忍的	The terrorists were arrested because they had been involved in the _____ attack.
community	n.	社區	The crime rate is very low in this _____.
contribute	v.	貢獻，促成	Penicillin, a type of antibiotic, has _____ greatly to mankind.
conventional	adj.	傳統的，常規的	Herbal medicine may provide a cure when _____ medicine cannot.
cooperate	v.	合作	The children _____ with their parents in cleaning the rooms.
disability	n.	殘疾，無能	The disabled young man never lets his _____ prevent him from doing whatever he wants to do.
essential	adj.	必要的，不可或缺的	The sun is absolutely _____ to the living things on earth.
essential	n.	必需品，要素	The old couple only brought the bare _____ with them when moving into the retirement home.
establish	v.	建立，設立	The oldest theater in this town was _____ in 1950.
establishment	n.	企業，機構，建立	There are many financial _____ set in the downtown business district.
fasten	v.	繫緊，固定	To ensure your safety, please _____ your seat belt during the flight.
gene	n.	基因	Although the baby carried a defective _____, he looked normal.
hardship	n.	艱難，困苦	The soldier has gone through all kinds of _____ in the war.
incident	n.	事件	The government refused to comment on the _____ at the border.
keenness	n.	敏銳，熱切	Each contestant on the stage showed _____ for success.
machinery	n.	機器，機械	To reduce personnel expenses, the factory installed some _____ to replace workers.
maximum	adj.	最大的	What is the _____ speed of that sports car?
maximum	n.	最大值	Passengers are usually allowed to take a _____ of 20 kilograms on the flight.
measure	n.	措施，測量	The police have taken strong _____ against drunken driving.
penalty	n.	處罰，刑罰	Anyone who breaks the company rules will face _____.
psychologist	n.	心理學家	The _____ is an expert in child development.
reference	n.	提及，參考	Greg made several _____ to his school life in London.
route	n.	路線	We took the quickest _____ from the airport to the hotel.
route	v.	安排路線	The new skincare products will be _____ via Milan.
tragedy	n.	悲劇	The wedding party ended in _____ because the restaurant was on fire.
universal	adj.	普遍的，宇宙的	Extreme weather is a _____ problem in the world.
universal	n.	普遍原則	It seems to be a _____ in the world that parents want a better life for their children.
athletic	adj.	運動的	The _____ competition will be held next week.
battery	n.	電池	The _____ in the camera is dead and we have to replace it with a new one.
behavior	n.	行為	Parents should teach their children to distinguish between socially appropriate and inappropriate _____.
canoe	n.	獨木舟	Bella finally learned how to paddle a _____ by trial and error.
canoe	v.	划獨木舟	The man _____ along the river through the forest.
constructive	adj.	建設性的	The best way to put democracy into practice is to welcome _____ criticism from the opposition parties.
convince	v.	說服，使確信	The suspect tried hard to _____ the judge of his innocence.
convinced	adj.	確信的	We are _____ that Ruth will win the race in the end.
convincing	adj.	令人信服的	No one believed what the politician said because it was not _____.
cooperation	n.	合作	Since the witness is willing to be in full _____ with the police, the case will be solved soon.
cooperative	adj.	合作的	The teacher asked the kids to be quiet, but they were not very _____.
cooperative	n.	合作社	Last Sunday, we visited an agricultural _____ and a rice factory.
economics	n.	經濟學	Carol received a PhD in _____.
estimate	n.	估計	The mechanic gave me a rough _____ of NT$8,000 for the repairs.
estimate	v.	估計	After the fire, the store _____ the losses at two million NT dollars.
ethnic	adj.	種族的	Misunderstandings often occur among different _____ groups.
ethnic	n.	少數民族	We should treat all _____ with respect.
fetch	v.	拿來，去拿	Please _____ me a plate from the cupboard.
fetch	n.	拿取	Frank likes to play _____ with his new adopted dog in the yard.
guilty	adj.	有罪的，內疚的	Karen felt _____ about forgetting her boyfriend's birthday again.
humanity	n.	人類，人性	Nuclear weapons are a threat to _____.
install	v.	安裝	Allen _____ the new software to increase the processing speed of the computer.
landscape	n.	風景，景色	The painter depicted beautiful rural _____ in her recent works.
landscape	v.	美化景觀	The city park was _____ and it attracted many visitors.
makeup	n.	化妝(品)	Many teenagers dress themselves up and wear some _____ for the Halloween parade.
motivation	n.	動機，動力	Emily lacks _____ and seldom involves herself in school activities.
nowadays	adv.	現今	_____, women have more opportunities than ever before.
percentage	n.	百分比	With the popularity of smartphones, a larger _____ of people can get easy access to the Internet.
publisher	n.	出版商	At first, the author had difficulty finding a _____ for her new book.
reflect	v.	倒影，反映	Wilson was fascinated by the still lake with the big round moon _____ in it.
satellite	n.	衛星	People can watch the broadcast of the Olympic Games via _____.
tragic	adj.	悲劇的	The director's death was a _____ loss to the entertainment industry.
vessel	n.	船艦，血管	The fishing _____ was finally released ten months after it was hijacked by the pirates.
absolute	adj.	絕對的	All of the hockey team members have _____ confidence in the coach's judgment.
absolutely	adv.	絕對地，完全地	Bill's poor health is _____ related to his bad eating habits.
annual	adj.	一年一度的	To most families in America, the _____ celebration of Christmas is a very important event.
atmosphere	n.	大氣，氣氛	The toxic gases from these chemical factories caused damage to the _____.
breed	n.	品種	The Labrador retriever is my favorite _____ of dog.
breed	v.	繁殖	The zoologist devotes himself to _____ endangered species.
breeding	n.	繁殖，教養	When is the _____ season for pandas?
cargo	n.	貨物	The _____ ship sank in the Indian Ocean.
communication	n.	溝通，通訊	Sue and Eva will be in _____ with each other by exchanging emails to practice their reading and writing skills.
consumer	n.	消費者	_____ need protection against dishonest dealers.
council	n.	委員會，理事會	The city _____ decided to build a library near the station.
critical	adj.	批評的，關鍵的	Melody is always _____ of the clothes her boyfriend wears.
cruelty	n.	殘忍	Those old soldiers suffered from the _____ of the war. Some of them even lost their homes.
